id,season,Venue_Id,date,Match_Type_Id,player_of_match,Team1_Id,Team2_Id,Toss_Winner_Team_Id,toss_decision,Match_Winner_Team_Id,result,result_margin,target_runs,target_overs,super_over,method,Umpire1_Id,Umpire2_Id
336040,2008,30,6/1/2008,4,YK Pathan,1,11,11,field,11,wickets,3,164,20,N,NA,12,49
392181,2009,6,4/18/2009,5,SR Tendulkar,1,9,1,field,9,runs,19,166,20,N,NA,15,32
392182,2009,6,4/18/2009,5,R Dravid,12,11,12,bat,12,runs,75,134,20,N,NA,15,48
392183,2009,6,4/19/2009,5,DL Vettori,3,5,3,field,3,wickets,10,54,6,N,D/L,38,57
392184,2009,6,4/19/2009,5,RP Singh,2,7,7,bat,2,wickets,8,102,20,N,NA,38,15
392185,2009,35,4/20/2009,5,M Muralitharan,12,1,1,bat,1,runs,92,180,20,N,NA,13,59
392186,2009,16,4/21/2009,5,CH Gayle,5,7,7,field,7,runs,11,69,9.2,N,D/L,20,57
392188,2009,6,4/22/2009,5,AC Gilchrist,12,2,2,bat,2,runs,24,185,20,N,NA,36,8
392189,2009,16,4/23/2009,5,AB de Villiers,1,3,3,bat,3,runs,9,190,20,N,NA,15,59
392190,2009,6,4/23/2009,5,YK Pathan,7,11,7,field,11,tie,NA,151,20,Y,NA,38,36
392191,2009,16,4/24/2009,5,RS Bopara,12,5,12,bat,5,wickets,7,169,20,N,NA,15,65
392192,2009,16,4/25/2009,5,PP Ojha,2,9,2,bat,2,runs,12,169,20,N,NA,25,59
392194,2009,35,4/26/2009,5,TM Dilshan,12,3,12,bat,3,wickets,6,150,20,N,NA,53,13
392195,2009,6,4/26/2009,5,KC Sangakkara,5,11,5,bat,5,runs,27,140,20,N,NA,36,32
392196,2009,16,4/27/2009,5,HH Gibbs,1,2,2,field,2,wickets,6,166,20,N,NA,28,65
392197,2009,35,4/27/2009,5,SR Tendulkar,7,9,9,bat,9,runs,92,188,20,N,NA,13,48
392198,2009,7,4/28/2009,5,YK Pathan,3,11,3,bat,11,wickets,5,144,20,N,NA,22,49
